alpha,beta,seed,perception,adversarial_opt_target,shield,selector,fail_rate,stuck_rate,safe_rate,mean_steps,num_trials,fail_rate_ci_low,fail_rate_ci_high,stuck_rate_ci_low,stuck_rate_ci_high,safe_rate_ci_low,safe_rate_ci_high
0.025,0.7,1024,uniform,,forward_sampling,rl,0.375,0.05,0.575,12.6,40,0.2272627224818259,0.541985247767389,0.006113646599350838,0.16919686395941763,0.4089005804269633,0.7295709687311371
0.025,0.7,1024,adversarial_opt,envelope,single_belief,rl,0.525,0.0,0.475,11.05,40,0.3612801352640621,0.6848802933650138,0.0,0.08809730287880237,0.31511970663498606,0.6387198647359378
0.025,0.7,1024,adversarial_opt,envelope,envelope,rl,0.475,0.05,0.475,10.625,40,0.31511970663498606,0.6387198647359378,0.006113646599350838,0.16919686395941763,0.31511970663498606,0.6387198647359378
0.025,0.7,1024,adversarial_opt,envelope,forward_sampling,rl,0.475,0.05,0.475,11.075,40,0.31511970663498606,0.6387198647359378,0.006113646599350838,0.16919686395941763,0.31511970663498606,0.6387198647359378
0.025,0.8,42,uniform,,single_belief,rl,0.425,0.0,0.575,12.375,40,0.27042903126886286,0.5910994195730367,0.0,0.08809730287880237,0.4089005804269633,0.7295709687311371
0.025,0.8,42,uniform,,envelope,rl,0.2,0.075,0.725,14.95,40,0.09052240939999068,0.35647801867923473,0.01574217985104153,0.20386474873289895,0.5611170928209519,0.8539910080361344
0.025,0.8,42,uniform,,forward_sampling,rl,0.35,0.025,0.625,13.025,40,0.20628249087076686,0.5168444536489907,0.0006327449320494191,0.13158585848276572,0.45801475223261096,0.772737277518174
0.025,0.8,42,adversarial_opt,envelope,single_belief,rl,0.475,0.0,0.525,11.5,40,0.31511970663498606,0.6387198647359378,0.0,0.08809730287880237,0.3612801352640621,0.6848802933650138
0.025,0.8,42,adversarial_opt,envelope,envelope,rl,0.275,0.1,0.625,13.25,40,0.1460089919638657,0.43888290717904815,0.027925415294219307,0.23663739987609986,0.45801475223261096,0.772737277518174
0.025,0.8,42,adversarial_opt,envelope,forward_sampling,rl,0.425,0.0,0.575,12.2,40,0.27042903126886286,0.5910994195730367,0.0,0.08809730287880237,0.4089005804269633,0.7295709687311371
0.025,0.8,123,uniform,,single_belief,rl,0.375,0.0,0.625,13.875,40,0.2272627224818259,0.541985247767389,0.0,0.08809730287880237,0.45801475223261096,0.772737277518174
0.025,0.8,123,uniform,,envelope,rl,0.325,0.05,0.625,13.25,40,0.18572896676334982,0.49129487547844847,0.006113646599350838,0.16919686395941763,0.45801475223261096,0.772737277518174
0.025,0.8,123,uniform,,forward_sampling,rl,0.375,0.025,0.6,12.625,40,0.2272627224818259,0.541985247767389,0.0006327449320494191,0.13158585848276572,0.4332670521932967,0.7513500134122562
0.025,0.8,123,adversarial_opt,envelope,single_belief,rl,0.4,0.0,0.6,13.0,40,0.2486499865877438,0.5667329478067034,0.0,0.08809730287880237,0.4332670521932967,0.7513500134122562
0.025,0.8,123,adversarial_opt,envelope,envelope,rl,0.325,0.05,0.625,13.8,40,0.18572896676334982,0.49129487547844847,0.006113646599350838,0.16919686395941763,0.45801475223261096,0.772737277518174
0.025,0.8,123,adversarial_opt,envelope,forward_sampling,rl,0.325,0.025,0.65,13.55,40,0.18572896676334982,0.49129487547844847,0.0006327449320494191,0.13158585848276572,0.4831555463510094,0.7937175091292331
0.025,0.8,456,uniform,,single_belief,rl,0.35,0.0,0.65,13.875,40,0.20628249087076686,0.5168444536489907,0.0,0.08809730287880237,0.4831555463510094,0.7937175091292331
0.025,0.8,456,uniform,,envelope,rl,0.325,0.025,0.65,13.825,40,0.18572896676334982,0.49129487547844847,0.0006327449320494191,0.13158585848276572,0.4831555463510094,0.7937175091292331
0.025,0.8,456,uniform,,forward_sampling,rl,0.425,0.075,0.5,10.95,40,0.27042903126886286,0.5910994195730367,0.01574217985104153,0.20386474873289895,0.33801781373723455,0.6619821862627655
0.025,0.8,456,adversarial_opt,envelope,single_belief,rl,0.525,0.0,0.475,10.675,40,0.3612801352640621,0.6848802933650138,0.0,0.08809730287880237,0.31511970663498606,0.6387198647359378
0.025,0.8,456,adversarial_opt,envelope,envelope,rl,0.35,0.075,0.575,12.35,40,0.20628249087076686,0.5168444536489907,0.01574217985104153,0.20386474873289895,0.4089005804269633,0.7295709687311371
